service_id,route_id,trip_id,direction_id,trip_headsign,block_id
WK,BLUE,WK_122807,1,Nagole,WK_9001
WK,BLUE,WK_122819,1,Nagole,WK_203701
WK,BLUE,WK_122832,0,Raidurg,WK_400101
WK,BLUE,WK_122834,1,Nagole,WK_400101
WK,BLUE,WK_122839,1,Mettuguda,WK_8501
WK,BLUE,WK_123484,1,Nagole,WK_31501
WK,BLUE,WK_123490,1,Nagole,WK_30801
WK,BLUE,WK_123509,1,Nagole,WK_31601
WK,BLUE,WK_123511,1,Nagole,WK_30901
WK,BLUE,WK_124370,1,Nagole,WK_31201
WK,BLUE,WK_124484,1,Nagole,WK_30101
WK,BLUE,WK_124503,0,Raidurg,WK_30101
WK,BLUE,WK_124504,1,Nagole,WK_30101
WK,BLUE,WK_124710,1,Nagole,WK_31201
WK,BLUE,WK_124713,0,Raidurg,WK_400101
WK,BLUE,WK_124714,1,Nagole,WK_400101
WK,BLUE,WK_124906,1,Nagole,WK_31701
WK,BLUE,WK_124907,0,Raidurg,WK_30201
WK,BLUE,WK_124908,1,Nagole,WK_30201
WK,BLUE,WK_124909,0,Raidurg,WK_30301
WK,BLUE,WK_124910,1,Nagole,WK_30301
WK,BLUE,WK_124911,0,Raidurg,WK_31301
WK,BLUE,WK_124912,1,Nagole,WK_31301
WK,BLUE,WK_124913,0,Raidurg,WK_30401
WK,BLUE,WK_124914,1,Nagole,WK_30401
WK,BLUE,WK_124915,0,Raidurg,WK_30501
WK,BLUE,WK_124916,1,Nagole,WK_30501
WK,BLUE,WK_124917,0,Raidurg,WK_30601
WK,BLUE,WK_124918,1,Nagole,WK_30601
WK,BLUE,WK_124919,0,Raidurg,WK_31401
WK,BLUE,WK_124920,1,Nagole,WK_31401
WK,BLUE,WK_124921,0,Raidurg,WK_30701
WK,BLUE,WK_124922,1,Nagole,WK_30701
WK,BLUE,WK_124923,0,Raidurg,WK_31501
WK,BLUE,WK_124924,1,Nagole,WK_31501
WK,BLUE,WK_124925,0,Raidurg,WK_30801
WK,BLUE,WK_124926,1,Nagole,WK_30801
WK,BLUE,WK_124927,0,Raidurg,WK_31601
WK,BLUE,WK_124928,1,Nagole,WK_31601
WK,BLUE,WK_124929,0,Raidurg,WK_30901
WK,BLUE,WK_124930,1,Nagole,WK_30901
WK,BLUE,WK_124931,0,Raidurg,WK_31001
WK,BLUE,WK_124932,1,Nagole,WK_31001
WK,BLUE,WK_124933,0,Raidurg,WK_31101
WK,BLUE,WK_124934,1,Nagole,WK_31101
WK,BLUE,WK_124935,0,Raidurg,WK_30101
WK,BLUE,WK_124936,1,Nagole,WK_30101
WK,BLUE,WK_124937,0,Raidurg,WK_31201
WK,BLUE,WK_124938,1,Nagole,WK_31201
WK,BLUE,WK_124939,0,Raidurg,WK_400101
WK,BLUE,WK_124940,1,Nagole,WK_400101
WK,BLUE,WK_124941,0,Raidurg,WK_31701
WK,BLUE,WK_124942,1,Nagole,WK_31701
WK,BLUE,WK_124943,0,Raidurg,WK_30201
WK,BLUE,WK_124944,1,Nagole,WK_30201
WK,BLUE,WK_124945,0,Raidurg,WK_30301
WK,BLUE,WK_124946,1,Nagole,WK_30301
WK,BLUE,WK_124947,0,Raidurg,WK_31301
WK,BLUE,WK_124948,1,Nagole,WK_31301
WK,BLUE,WK_124949,0,Raidurg,WK_30401
WK,BLUE,WK_124950,1,Nagole,WK_30401
WK,BLUE,WK_124951,0,Raidurg,WK_30501
WK,BLUE,WK_124952,1,Nagole,WK_30501
WK,BLUE,WK_124953,0,Raidurg,WK_30601
WK,BLUE,WK_124954,1,Nagole,WK_30601
WK,BLUE,WK_124955,0,Raidurg,WK_31401
WK,BLUE,WK_124956,1,Nagole,WK_31401
WK,BLUE,WK_124957,0,Raidurg,WK_30701
WK,BLUE,WK_124958,1,Nagole,WK_30701
WK,BLUE,WK_124959,0,Raidurg,WK_31501
WK,BLUE,WK_124960,1,Nagole,WK_31501
WK,BLUE,WK_124961,0,Raidurg,WK_30801
WK,BLUE,WK_124962,1,Nagole,WK_30801
WK,BLUE,WK_124963,0,Raidurg,WK_31601
WK,BLUE,WK_124964,1,Nagole,WK_31601
WK,BLUE,WK_124965,0,Raidurg,WK_30901
WK,BLUE,WK_124966,1,Nagole,WK_30901
WK,BLUE,WK_124967,0,Raidurg,WK_31001
WK,BLUE,WK_124968,1,Nagole,WK_31001
WK,BLUE,WK_124970,1,Nagole,WK_31101
WK,BLUE,WK_124971,0,Raidurg,WK_30101
WK,BLUE,WK_124972,1,Nagole,WK_30101
WK,BLUE,WK_124973,0,Raidurg,WK_31201
WK,BLUE,WK_124974,1,Nagole,WK_31201
WK,BLUE,WK_124975,0,Raidurg,WK_400101
WK,BLUE,WK_124976,1,Nagole,WK_400101
WK,BLUE,WK_124977,0,Raidurg,WK_31701
WK,BLUE,WK_124978,1,Nagole,WK_31701
